rmse,pearson,spearman,ci,f1,average_AUC,id
1.4796,0.0824,0.0957,0.5354,0.3592,0.5545,syn17053969
1.0421,0.5391,0.5214,0.7029,0.5463,0.78,syn17053970
4.9789,0.0534,0.0515,0.5189,0.4448,0.5227,syn17053971
1.2559,0.1919,0.2235,0.5814,0.2573,0.6245,syn17053972
1.3329,-0.008,-0.0055,0.4981,0.2105,0.5026,syn17053973
1.2977,0.1923,0.2023,0.5749,0.3107,0.5955,syn17053974
1.2118,0.2965,0.2903,0.6072,0.3655,0.6506,syn17053975
1.1912,0.4043,0.3685,0.6339,0.4272,0.7001,syn17053976
1.2579,0.2956,0.2228,0.583,0.3515,0.6226,syn17053977
1.1972,0.242,0.2581,0.5973,0.3222,0.6255,syn17053978
1.2495,0.3529,0.3492,0.629,0.1818,0.685,syn17053979
1.0975,0.5372,0.5433,0.7072,0.5569,0.7644,syn17053980
1.3327,0.0552,0.0441,0.5162,0.2593,0.5204,syn17053981
1.6785,-0.0396,-0.0544,0.479,0.1978,0.4813,syn17053982
1.3192,0.0715,0.0729,0.5268,0.2453,0.5348,syn17053983
1.0977,0.5038,0.4812,0.6845,0.449,0.7569,syn17053984
1.2068,0.267,0.2006,0.573,0.2289,0.6104,syn17053985
1.1888,0.2563,0.1985,0.5739,0.3059,0.611,syn17053986
1.1497,0.3963,0.3851,0.6447,0.2454,0.7091,syn17053987
2.305,0.1619,0.1243,0.5467,0.0,0.5812,syn17053988
1.3353,0.1587,0.1188,0.5439,0.2765,0.5632,syn17053989
1.1945,0.3568,0.3323,0.6248,0.4087,0.6705,syn17053990
1.398,0.1584,0.0851,0.5303,0.3415,0.5616,syn17053991
1.1989,0.3599,0.3377,0.6283,0.4118,0.6726,syn17053992
243.2319,-0.0177,-0.0196,0.4924,0.4432,0.4809,syn17053993
1.3763,0.2071,0.2206,0.5844,0.3832,0.6081,syn17053994
1.156,0.3911,0.3634,0.6379,0.4365,0.6947,syn17053995
1.6116,-0.1246,-0.1257,0.4544,0.0,0.4297,syn17053996
1.5305,0.0211,0.0529,0.5197,0.1429,0.5337,syn17053997
1.6524,0.0278,0.0263,0.5108,0.255,0.5281,syn17053998
1.6524,0.0278,0.0263,0.5108,0.255,0.5281,syn17053999
1.6984,-0.0713,-0.1334,0.452,0.1438,0.4216,syn17054000
1.3179,0.0431,0.037,0.5134,0.1509,0.5404,syn17054001
1.2562,0.1513,0.2535,0.5925,0.3518,0.6133,syn17054002
1.2119,0.1768,0.2432,0.5895,0.2414,0.6134,syn17054003
1.0624,0.5282,0.5383,0.705,0.5311,0.7833,syn17054004
1.2274,0.1614,0.1498,0.5546,0.3298,0.5878,syn17054005
1.1961,0.1641,0.1822,0.5672,0.0,0.6147,syn17054006
1.2274,0.1614,0.1498,0.5546,0.3298,0.5878,syn17054007
1.2035,0.266,0.278,0.6029,0.239,0.6297,syn17054008
1.3754,0.0789,0.0506,0.5183,0.3163,0.5398,syn17054009
1.9216,-0.0194,-0.0212,0.4918,0.3807,0.4803,syn17054010
1.7876,0.0194,0.0212,0.5082,0.3406,0.5197,syn17054011
1554.129,-0.1267,-0.1166,0.4572,0.4448,0.418,syn17054012
2.8897,0.0331,0.0546,0.519,0.4389,0.5254,syn17054013
1.279,0.4228,0.4035,0.6543,0.1314,0.7063,syn17054014
1.057,0.5079,0.4978,0.6903,0.48,0.7646,syn17054015
1781.286,0.1034,0.074,0.5271,0.4448,0.5418,syn17054016
1.4499,0.0376,0.0506,0.5192,0.1791,0.514,syn17054018
1.0964,0.4177,0.3748,0.6412,0.3934,0.7112,syn17054020
2.2908,0.0424,0.0474,0.5166,0.4356,0.5137,syn17054021
1.5443,-0.0596,-0.1086,0.4591,0.1992,0.4452,syn17054022
2.1258,0.1619,0.1243,0.5467,0.0,0.5812,syn17054023
2.1372,-0.0075,0.0076,0.5028,0.2787,0.5142,syn17054024
1.1414,0.3937,0.3182,0.6191,0.4525,0.6816,syn17054025
2.3191,0.0578,0.0747,0.5269,0.016,0.543,syn17054026
2.3903,-0.0471,-0.0464,0.4834,0.0,0.4928,syn17054027
1.6717,-0.1199,-0.0979,0.4642,0.04,0.4626,syn17054028
1.3427,-0.0931,-0.0513,0.4825,0.0,0.4896,syn17054029
1.2248,0.3652,0.3655,0.6383,0.4848,0.6927,syn17054030
1.3127,0.2303,0.197,0.5758,0.1233,0.6042,syn17054031
2.2472,0.1458,0.1369,0.5502,0.0,0.5621,syn17054032
17.5135,-0.2264,-0.2547,0.4047,0.4448,0.3528,syn17054033
1.5835,0.1518,0.1134,0.542,0.3139,0.5614,syn17054034
1.3351,0.3737,0.3358,0.6157,0.4523,0.6811,syn17054035
1.6647,0.2147,0.2403,0.5905,0.0,0.6233,syn17054036
1.2782,0.39,0.3717,0.6335,0.4249,0.6916,syn17054037
1.452,-0.0448,-0.0168,0.494,0.0541,0.4615,syn17054038
1.2766,0.3826,0.3629,0.6313,0.4167,0.6878,syn17054039
1.8121,-0.1035,-0.1029,0.4625,0.2066,0.437,syn17054040
12.6508,-0.2556,-0.2294,0.4147,0.3698,0.3686,syn17054041
1.5084,-0.0708,-0.0265,0.4893,0.1628,0.4702,syn17054042
1.6884,-0.1209,-0.1204,0.4549,0.0795,0.4497,syn17054043
1.2831,0.0537,0.0545,0.522,0.3021,0.5149,syn17054044
1.3002,0.282,0.275,0.6031,0.3645,0.6393,syn17054045
10.2042,-0.0257,-0.0093,0.4968,0.0,0.4887,syn17054046
10.18,-0.0215,-0.006,0.4973,0.0,0.4881,syn17054047
10.1792,-0.097,-0.0915,0.4664,0.0,0.4517,syn17054048
1.4973,0.0118,0.0134,0.5053,0.0,0.5143,syn17054049
1.2314,0.3054,0.2754,0.6024,0.3103,0.648,syn17054050
1.1713,0.3417,0.3346,0.6248,0.2646,0.6632,syn17054051
1.2314,0.3054,0.2754,0.6024,0.3103,0.648,syn17054052
1.4084,0.0497,0.0393,0.5147,0.1481,0.4932,syn17054053
1.5956,-0.0788,-0.077,0.4755,0.0,0.473,syn17054054
1.6551,-0.096,-0.0961,0.4659,0.1963,0.4616,syn17054055
